event,layer,phi,tbin,adc,zelem,x,y,z,plot_x,plot_y,plot_z
6,7,-3.04968,657,26.9402,0,-31.2481,-2.88006,173.068,657,-6.97046,-0.64245
6,7,-3.01626,948,13,0,-31.1344,-3.9226,296.452,948,-6.9451,-0.875008
6,7,-3.01626,949,24.1803,0,-31.1344,-3.9226,296.876,949,-6.9451,-0.875008
6,7,-3.01069,949,13.0987,0,-31.112,-4.09597,296.876,949,-6.94011,-0.913681
6,7,-3.00512,948,29.0139,0,-31.0887,-4.2692,296.452,948,-6.93492,-0.952324
6,7,-3.00512,949,67.4144,0,-31.0887,-4.2692,296.876,949,-6.93492,-0.952324
6,7,-3.00512,950,12.2943,0,-31.0887,-4.2692,297.3,950,-6.93492,-0.952324
6,7,-2.99955,948,25.0139,0,-31.0645,-4.4423,296.452,948,-6.92951,-0.990938
6,7,-2.99955,949,66.359,0,-31.0645,-4.4423,296.876,949,-6.92951,-0.990938
6,7,-2.99955,950,14.2316,0,-31.0645,-4.4423,297.3,950,-6.92951,-0.990938
6,7,-2.99398,32,20.172,0,-31.0393,-4.61527,-91.932,32,-6.92388,-1.02952
6,7,-2.99398,33,49.4289,0,-31.0393,-4.61527,-91.508,33,-6.92388,-1.02952
6,7,-2.99398,34,94.0574,0,-31.0393,-4.61527,-91.084,34,-6.92388,-1.02952
6,7,-2.99398,35,29.2212,0,-31.0393,-4.61527,-90.66,35,-6.92388,-1.02952
6,7,-2.99398,948,14,0,-31.0393,-4.61527,296.452,948,-6.92388,-1.02952
6,7,-2.99398,949,53.1942,0,-31.0393,-4.61527,296.876,949,-6.92388,-1.02952
6,7,-2.99398,950,12.9061,0,-31.0393,-4.61527,297.3,950,-6.92388,-1.02952
6,7,-2.98841,32,12.2348,0,-31.0131,-4.78809,-91.932,32,-6.91804,-1.06807
6,7,-2.98841,33,24.3732,0,-31.0131,-4.78809,-91.508,33,-6.91804,-1.06807
6,7,-2.98841,34,31.6616,0,-31.0131,-4.78809,-91.084,34,-6.91804,-1.06807
6,7,-2.98841,806,15.0522,0,-31.0131,-4.78809,236.244,806,-6.91804,-1.06807
6,7,-2.98841,807,18.254,0,-31.0131,-4.78809,236.668,807,-6.91804,-1.06807
6,7,-2.98284,567,36.9723,0,-30.9859,-4.96076,134.908,567,-6.91198,-1.10659
6,7,-2.98284,568,28.4888,0,-30.9859,-4.96076,135.332,568,-6.91198,-1.10659
6,7,-2.98284,805,23,0,-30.9859,-4.96076,235.82,805,-6.91198,-1.10659
6,7,-2.98284,806,56.319,0,-30.9859,-4.96076,236.244,806,-6.91198,-1.10659
6,7,-2.98284,807,71.0577,0,-30.9859,-4.96076,236.668,807,-6.91198,-1.10659
6,7,-2.98284,808,122.902,0,-30.9859,-4.96076,237.092,808,-6.91198,-1.10659
6,7,-2.98284,809,114.354,0,-30.9859,-4.96076,237.516,809,-6.91198,-1.10659
