# file event_index_in_file north south fired
ang_run_7.dat 66 1 1 1
ang_run_7.dat 67 1 1 1
ang_run_7.dat 68 0 0 0
ang_run_7.dat 69 1 1 1
ang_run_7.dat 70 1 1 1
ang_run_7.dat 71 1 1 1
ang_run_7.dat 72 0 0 0
ang_run_7.dat 73 0 0 0
ang_run_7.dat 74 1 1 1
ang_run_7.dat 75 1 1 1
ang_run_7.dat 76 0 0 0
ang_run_7.dat 77 1 1 1
ang_run_7.dat 78 1 1 1
ang_run_7.dat 79 0 0 0
ang_run_7.dat 80 1 1 1
ang_run_7.dat 81 1 1 1
ang_run_7.dat 82 1 1 1
ang_run_7.dat 83 1 1 1
ang_run_7.dat 84 0 0 0
ang_run_7.dat 85 0 0 0
ang_run_7.dat 86 1 1 1
ang_run_7.dat 87 1 1 1
ang_run_7.dat 88 0 0 0
ang_run_7.dat 89 1 1 1
ang_run_7.dat 90 1 1 1
ang_run_7.dat 91 0 0 0
ang_run_7.dat 92 0 0 0
ang_run_7.dat 93 1 1 1
ang_run_7.dat 94 1 1 1
ang_run_7.dat 95 1 1 1
ang_run_8.dat 0 1 1 1
ang_run_8.dat 1 1 1 1
ang_run_8.dat 2 0 0 0
ang_run_8.dat 3 1 1 1
ang_run_8.dat 4 0 0 0
ang_run_8.dat 5 1 1 1
ang_run_8.dat 6 1 1 1
ang_run_8.dat 7 1 1 1
ang_run_8.dat 8 1 1 1
ang_run_8.dat 9 0 0 0
ang_run_8.dat 10 1 1 1
ang_run_8.dat 11 1 1 1
ang_run_8.dat 12 1 1 1
ang_run_8.dat 13 0 0 0
ang_run_8.dat 14 0 0 0
ang_run_8.dat 15 0 0 0
ang_run_8.dat 16 1 1 1
ang_run_8.dat 17 1 1 1
ang_run_8.dat 18 1 1 1
ang_run_8.dat 19 1 1 1
ang_run_8.dat 20 0 0 0
ang_run_8.dat 21 0 0 0
ang_run_8.dat 22 1 1 1
ang_run_8.dat 23 0 0 0
ang_run_8.dat 24 1 1 1
ang_run_8.dat 25 0 0 0
ang_run_8.dat 26 1 1 1
ang_run_8.dat 27 1 1 1
ang_run_8.dat 28 0 0 0
ang_run_8.dat 29 0 0 0
ang_run_8.dat 30 0 0 0
ang_run_8.dat 31 1 1 1
ang_run_8.dat 32 0 0 0
ang_run_8.dat 33 0 0 0
ang_run_8.dat 34 1 1 1
ang_run_8.dat 35 1 1 1
ang_run_8.dat 36 1 1 1
ang_run_8.dat 37 1 1 1
ang_run_8.dat 38 0 0 0
ang_run_8.dat 39 0 0 0
ang_run_8.dat 40 0 0 0
ang_run_8.dat 41 1 1 1
ang_run_8.dat 42 0 0 0
ang_run_8.dat 43 1 1 1
ang_run_8.dat 44 1 1 1
ang_run_8.dat 45 1 1 1
ang_run_8.dat 46 1 1 1
ang_run_8.dat 47 0 0 0
ang_run_8.dat 48 0 0 0
ang_run_8.dat 49 1 1 1
ang_run_8.dat 50 0 0 0
ang_run_8.dat 51 0 0 0
ang_run_8.dat 52 0 0 0
ang_run_8.dat 53 1 1 1
ang_run_8.dat 54 0 0 0
ang_run_8.dat 55 1 1 1
ang_run_8.dat 56 1 1 1
ang_run_8.dat 57 1 1 1
ang_run_8.dat 58 0 0 0
ang_run_8.dat 59 1 1 1
ang_run_8.dat 60 0 0 0
ang_run_8.dat 61 1 1 1
ang_run_8.dat 62 1 1 1
ang_run_8.dat 63 0 0 0
ang_run_8.dat 64 0 0 0
ang_run_8.dat 65 0 0 0
ang_run_8.dat 66 0 0 0
ang_run_8.dat 67 1 1 1
ang_run_8.dat 68 1 1 1
ang_run_8.dat 69 0 0 0
ang_run_8.dat 70 0 0 0
ang_run_8.dat 71 1 1 1
ang_run_8.dat 72 1 1 1
ang_run_8.dat 73 1 1 1
ang_run_8.dat 74 0 0 0
ang_run_8.dat 75 1 1 1
ang_run_8.dat 76 1 1 1
ang_run_8.dat 77 0 0 0
ang_run_8.dat 78 1 1 1
ang_run_9.dat 0 0 0 0
ang_run_9.dat 1 1 1 1
ang_run_9.dat 2 1 1 1
ang_run_9.dat 3 0 0 0
ang_run_9.dat 4 1 1 1
ang_run_9.dat 5 1 1 1
ang_run_9.dat 6 1 1 1
ang_run_9.dat 7 0 0 0
ang_run_9.dat 8 1 1 1
ang_run_9.dat 9 1 1 1
ang_run_9.dat 10 1 1 1
ang_run_9.dat 11 1 1 1
ang_run_9.dat 12 0 0 0
ang_run_9.dat 13 1 1 1
ang_run_9.dat 14 1 1 1
ang_run_9.dat 15 0 0 0
ang_run_9.dat 16 0 0 0
ang_run_9.dat 17 0 0 0
ang_run_9.dat 18 1 1 1
ang_run_9.dat 19 1 1 1
ang_run_9.dat 20 1 1 1
ang_run_9.dat 21 0 0 0
ang_run_9.dat 22 1 1 1
ang_run_9.dat 23 0 0 0
ang_run_9.dat 24 0 0 0
ang_run_9.dat 25 1 1 1
ang_run_9.dat 26 0 0 0
ang_run_9.dat 27 1 1 1
ang_run_9.dat 28 1 1 1
ang_run_9.dat 29 1 1 1
ang_run_9.dat 30 0 0 0
ang_run_9.dat 31 1 1 1
ang_run_9.dat 32 1 1 1
ang_run_9.dat 33 0 0 0
ang_run_9.dat 34 1 1 1
ang_run_9.dat 35 1 1 1
ang_run_9.dat 36 0 0 0
ang_run_9.dat 37 0 0 0
ang_run_9.dat 38 1 1 1
ang_run_9.dat 39 1 1 1
ang_run_9.dat 40 1 1 1
ang_run_9.dat 41 1 1 1
ang_run_9.dat 42 0 0 0
ang_run_9.dat 43 1 1 1
ang_run_9.dat 44 0 0 0
ang_run_9.dat 45 1 1 1
ang_run_9.dat 46 0 0 0
ang_run_9.dat 47 1 1 1
ang_run_9.dat 48 1 1 1
ang_run_9.dat 49 1 1 1
ang_run_9.dat 50 0 0 0
ang_run_9.dat 51 1 1 1
ang_run_9.dat 52 1 1 1
ang_run_9.dat 53 0 0 0
ang_run_9.dat 54 0 0 0
ang_run_9.dat 55 1 1 1
ang_run_9.dat 56 0 0 0
ang_run_9.dat 57 0 0 0
ang_run_9.dat 58 1 1 1
ang_run_9.dat 59 1 1 1
ang_run_9.dat 60 1 1 1
ang_run_9.dat 61 0 0 0
ang_run_9.dat 62 1 1 1
ang_run_9.dat 63 1 1 1
ang_run_9.dat 64 1 1 1
ang_run_9.dat 65 1 1 1
ang_run_9.dat 66 0 0 0
ang_run_9.dat 67 1 1 1
ang_run_9.dat 68 1 1 1
ang_run_9.dat 69 0 0 0
ang_run_9.dat 70 1 1 1
ang_run_9.dat 71 1 1 1
ang_run_9.dat 72 0 0 0
ang_run_9.dat 73 1 1 1
ang_run_9.dat 74 1 1 1
ang_run_9.dat 75 1 1 1
ang_run_9.dat 76 1 1 1
ang_run_9.dat 77 0 0 0
ang_run_9.dat 78 1 1 1
