# file event_index_in_file north south fired
pau_chunk_b.dat 125 2 1 1
pau_chunk_b.dat 126 0 1 0
pau_chunk_b.dat 127 1 2 1
pau_chunk_b.dat 128 0 0 0
pau_chunk_b.dat 129 0 0 0
pau_chunk_b.dat 130 0 5 0
pau_chunk_b.dat 131 1 1 1
pau_chunk_b.dat 132 0 2 0
pau_chunk_b.dat 133 1 2 1
pau_chunk_b.dat 134 1 3 1
pau_chunk_b.dat 135 2 2 1
pau_chunk_b.dat 136 1 1 1
pau_chunk_b.dat 137 1 1 1
pau_chunk_b.dat 138 2 0 0
pau_chunk_b.dat 139 1 3 1
pau_chunk_b.dat 140 1 0 0
pau_chunk_b.dat 141 0 1 0
pau_chunk_b.dat 142 0 6 0
pau_chunk_b.dat 143 1 9 1
pau_chunk_b.dat 144 0 2 0
pau_chunk_b.dat 145 0 2 0
pau_chunk_b.dat 146 0 1 0
pau_chunk_b.dat 147 0 6 0
pau_chunk_b.dat 148 0 1 0
pau_chunk_b.dat 149 1 2 1
