$p_{T}$ [GeV/c]
10
p, d+Au minbias
p, p+p NSD
p, d+Au 0-20$\%$
p, d+Au 20-40$\%$
p, d+Au 40-100$\%$
$\bar{p}$, d+Au minbias
$\bar{p}$, p+p NSD
$\bar{p}$, d+Au 0-20$\%$
$\bar{p}$, d+Au 20-40$\%$
$\bar{p}$, d+Au 40-100$\%$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
1/$N_{event}$$d^{2}$N/(2$\pi$$p_{T}$$dp_{T}$dy)$(GeV/c)^{-2}$ 
no
none
none
2
stat
symmetric
syst
symmetric
5.63e-01	2.26e-01	1.62e-02	2.94e-02
6.61e-01	1.73e-01	1.23e-02	2.25e-02
7.59e-01	1.39e-01	9.76e-03	1.81e-02
8.58e-01	1.19e-01	8.58e-03	1.54e-02
9.57e-01	8.99e-02	6.92e-03	1.17e-02
1.06e+00	7.36e-02	5.01e-03	5.89e-03
1.16e+00	4.24e-02	3.50e-03	3.39e-03
1.31e+00	3.48e-02	2.14e-03	2.78e-03
1.50e+00	1.93e-02	1.46e-03	1.54e-03
1.70e+00	1.01e-02	9.74e-04	8.11e-04
1.90e+00	4.99e-03	6.54e-04	3.99e-04
2.25e+00	2.69e-03	2.85e-04	2.15e-04
2.75e+00	5.86e-04	1.35e-04	4.69e-05
3.50e+00	'-'		'-'		'-'
***
4.68e-01	1.63e-01	1.45e-02	2.12e-02
5.63e-01	1.65e-01	1.20e-02	2.14e-02
6.61e-01	1.24e-01	8.94e-03	1.62e-02
7.59e-01	9.35e-02	6.78e-03	1.22e-02
8.58e-01	7.98e-02	5.96e-03	1.04e-02
9.57e-01	5.22e-02	4.33e-03	6.78e-03
1.06e+00	4.14e-02	3.20e-03	3.31e-03
1.16e+00	3.61e-02	2.82e-03	2.89e-03
1.31e+00	2.32e-02	1.50e-03	1.85e-03
1.50e+00	1.13e-02	9.51e-04	9.04e-04
1.70e+00	6.41e-03	6.63e-04	5.13e-04
1.90e+00	4.64e-03	5.37e-04	3.71e-04
2.25e+00	1.46e-03	1.78e-04	1.17e-04
2.75e+00	4.43e-04	1.38e-04	3.54e-05
3.50e+00	'-'		'-'		'-'
***
4.68e-01	7.50e-02	6.44e-03	9.75e-03
5.63e-01	6.04e-02	4.55e-03	7.85e-03
6.61e-01	5.51e-02	3.89e-03	7.16e-03
7.59e-01	3.61e-02	2.68e-03	4.69e-03
8.58e-01	2.85e-02	2.22e-03	3.70e-03
9.57e-01	1.95e-02	1.68e-03	2.54e-03
1.06e+00	1.82e-02	1.37e-03	1.45e-03
1.16e+00	1.22e-02	1.04e-03	9.73e-04
1.31e+00	7.64e-03	5.47e-04	6.11e-04
1.50e+00	3.51e-03	3.35e-04	2.81e-04
1.70e+00	2.21e-03	2.48e-04	1.77e-04
1.90e+00	9.80e-04	1.70e-04	7.84e-05
2.25e+00	5.66e-04	7.10e-05	4.53e-05
2.75e+00	1.29e-04	4.62e-05	1.03e-05
3.50e+00	'-'		'-'		'-'
***
 
